dumpster,month,year,date,weight_tons,volume_y3,plastic_bottles,polystyrene,cigarettes,plastic_bags,wheel
104,July,2022,44763,3.29,15,2100,250,3600,950,Gwynnda
105,July,2022,44768,2.58,15,2900,320,4000,1500,Gwynnda
106,August,2022,44779,2.62,15,2100,400,3600,1600,Gwynnda
107,August,2022,44782,3.37,15,1800,160,2800,1000,Gwynnda
108,September,2022,44805,1.93,15,2900,240,3000,1100,Gwynnda
109,September,2022,44812,2.66,15,3200,290,3500,1400,Gwynnda
110,September,2022,44812,3.01,15,1800,160,2800,940,Gwynnda
111,September,2022,44814,3.78,15,1600,100,2100,1200,Gwynnda
112,September,2022,44818,3.4,15,2800,190,3400,1000,Gwynnda
113,September,2022,44819,3.19,15,1200,96,2000,920,Gwynnda
114,September,2022,44831,3.35,15,2100,240,2500,1200,Gwynnda
115,October,2022,44840,2.86,15,2500,180,3200,980,Gwynnda
116,October,2022,44851,2.87,15,1800,210,3900,1400,Gwynnda
117,November,2022,44868,3.06,15,1600,240,2900,200,Gwynnda
118,November,2022,44880,3,15,2100,180,3300,140,Gwynnda
119,November,2022,44884,2.42,15,1200,72,2000,100,Gwynnda
120,November,2022,44887,2.37,15,980,50,1500,80,Gwynnda
121,November,2022,44895,2.91,15,2500,240,2900,160,Gwynnda
122,December,2022,44908,2.35,14,1900,120,3300,210,Gwynnda
123,December,2022,44912,2.8,15,2100,240,4200,250,Gwynnda
124,December,2022,44912,2.69,15,1200,100,2900,150,Gwynnda
125,December,2022,44914,2.27,15,900,50,1600,80,Gwynnda
126,December,2022,44914,2.5,15,800,48,1200,50,Gwynnda
127,December,2022,44915,2.72,15,480,64,1000,64,Gwynnda
128,December,2022,44915,2.74,15,720,80,1800,48,Gwynnda
129,December,2022,44918,3.08,15,1600,180,3000,120,Gwynnda
130,December,2022,44925,3.16,15,2400,160,3400,200,Gwynnda
131,December,2022,44925,3.04,15,800,72,2000,80,Gwynnda
132,December,2022,44925,3.09,15,500,48,800,50,Gwynnda
133,December,2022,44925,3.15,15,640,50,1200,36,Gwynnda
134,January,2023,44929,2.48,15,900,120,2000,80,Gwynnda
135,January,2023,44945,3.2,15,1400,220,1800,75,Gwynnda
136,January,2023,44956,3.08,15,2100,180,2400,100,Gwynnda
137,February,2023,44978,2.47,15,1900,210,2700,150,Gwynnda
138,February,2023,44978,2.69,15,960,150,2100,90,Gwynnda
139,March,2023,44988,2.41,15,2400,210,2900,140,Gwynnda
140,March,2023,44999,2.91,15,1800,100,3000,80,Gwynnda
141,April ,2023,45022,2.35,15,2700,240,3200,200,Gwynnda
142,April ,2023,45034,3.25,15,1500,120,2400,120,Gwynnda
143,April ,2023,45041,3.4,15,930,80,1800,64,Gwynnda
144,April ,2023,45044,2.81,15,2100,200,2700,180,Gwynnda
145,May,2023,45047,2.85,15,3000,240,3300,270,Gwynnda
146,May,2023,45047,3.22,15,1600,110,2100,140,Gwynnda
147,May,2023,45050,3.44,15,1200,5,1800,75,Gwynnda
148,June,2023,45085,1.93,15,4100,320,3900,220,Gwynnda
149,June,2023,45105,2.68,15,5400,500,4400,310,Gwynnda
150,June,2023,45106,2.74,15,4400,330,4000,270,Gwynnda
151,June,2023,45106,3.12,15,5000,420,5200,360,Gwynnda
152,June,2023,45106,3.12,15,3400,300,3600,240,Gwynnda
153,June,2023,45106,3.45,15,4900,540,4800,410,Gwynnda
154,June ,2023,45107,2.88,15,2500,210,3200,300,Gwynnda
155,July,2023,45110,3.62,15,2700,320,2700,380,Gwynnda
156,July,2023,45110,3.22,15,1300,240,4100,440,Gwynnda
157,July,2023,45110,2.96,15,800,140,1000,110,Gwynnda
158,July,2023,45110,3.09,15,440,60,980,180,Gwynnda
159,July,2023,45113,3.52,15,2100,280,2400,390,Gwynnda
160,July,2023,45118,3.61,15,3200,410,3800,380,Gwynnda
161,July,2023,45118,3.16,15,1100,240,2700,200,Gwynnda
162,July,2023,45119,3.24,15,800,110,1800,80,Gwynnda
163,July,2023,45120,2.9,15,540,100,1200,140,Gwynnda
164,July,2023,45129,3.19,15,4100,540,5200,380,Gwynnda
165,August,2023,45140,2.7,15,3300,280,4600,290,Gwynnda
166,August,2023,45140,2.99,15,1500,210,3200,190,Gwynnda
167,August,2023,45140,2.32,15,850,140,1800,120,Gwynnda
168,August,2023,45140,2.79,15,440,60,940,50,Gwynnda
169,August,2023,45146,2.6,15,2800,390,5200,220,Gwynnda
170,August,2023,45147,2.5,15,1200,340,3600,210,Gwynnda
171,August,2023,45147,2.28,15,1400,210,2900,180,Gwynnda
172,August,2023,45147,2.78,15,880,75,1400,90,Gwynnda
173,August,2023,45147,2.79,15,750,90,980,25,Gwynnda
174,August,2023,45148,2.22,15,1800,320,4200,190,Gwynnda
175,August,2023,45148,2.93,15,400,50,1000,75,Gwynnda
176,August,2023,45148,2.48,15,10,0,200,2,Gwynnda
177,August,2023,45162,2.17,15,1400,210,2600,120,Gwynnda
178,August,2023,45162,0.93,10,600,100,1200,100,Gwynnda
179,September,2023,45183,3.1,15,2500,410,3900,240,Gwynnda
180,September,2023,45188,2.44,15,1100,210,2200,180,Gwynnda
181,September,2023,45188,3.8,15,2300,390,3800,200,Gwynnda
182,September,2023,45190,3.67,15,1000,190,2000,110,Gwynnda
183,September,2023,45190,2.84,15,1300,210,3100,150,Gwynnda
184,September,2023,45190,3.59,15,500,60,1800,90,Gwynnda
185,September,2023,45190,3.15,15,700,100,1200,50,Gwynnda
186,September,2023,45191,3.52,15,20,14,150,10,Gwynnda
187,September,2023,45191,2.98,15,0,0,0,0,Gwynnda
188,September,2023,45194,3.5,15,1800,240,2900,240,Gwynnda
189,September,2023,45194,3.34,15,680,90,1800,80,Gwynnda
